Multiple O CVE-2013-6473
heap-based AV CVE-2013-6473
buffer AV CVE-2013-6473
overflows AV CVE-2013-6473
in O CVE-2013-6473
the O CVE-2013-6473
urftopdf O CVE-2013-6473
filter O CVE-2013-6473
in O CVE-2013-6473
cups-filters SN CVE-2013-6473
1.0.25 SV CVE-2013-6473
before SV CVE-2013-6473
1.0.47 SV CVE-2013-6473
allow O CVE-2013-6473
remote AV CVE-2013-6473
attackers AV CVE-2013-6473
to O CVE-2013-6473
execute II,AI,CI CVE-2013-6473
arbitrary II,AI,CI CVE-2013-6473
code II,AI,CI CVE-2013-6473
via O CVE-2013-6473
a O CVE-2013-6473
large AC,AV CVE-2013-6473
( O CVE-2013-6473
1 O CVE-2013-6473
) O CVE-2013-6473
page AC,AV CVE-2013-6473
or AC,AV CVE-2013-6473
( O CVE-2013-6473
2 O CVE-2013-6473
) O CVE-2013-6473
line AC,AV CVE-2013-6473
in AC,AV CVE-2013-6473
a AC,AV CVE-2013-6473
URF AC,AV CVE-2013-6473
file AC,AV CVE-2013-6473
. O CVE-2013-6473
  
gksu-polkit-0.0.3-6.fc18 SN CVE-2013-4161
was O CVE-2013-4161
reported O CVE-2013-4161
as O CVE-2013-4161
fixing O CVE-2013-4161
the O CVE-2013-4161
issue O CVE-2013-4161
in O CVE-2013-4161
CVE-2012-5617 O CVE-2013-4161
but O CVE-2013-4161
the O CVE-2013-4161
patch O CVE-2013-4161
was O CVE-2013-4161
improperly O CVE-2013-4161
applied O CVE-2013-4161
and O CVE-2013-4161
it O CVE-2013-4161
did O CVE-2013-4161
not O CVE-2013-4161
fixed O CVE-2013-4161
the O CVE-2013-4161
security O CVE-2013-4161
issue O CVE-2013-4161
. O CVE-2013-4161
  
Unspecified O CVE-2013-5767
vulnerability O CVE-2013-5767
in O CVE-2013-5767
the O CVE-2013-5767
MySQL O CVE-2013-5767
Server O CVE-2013-5767
component O CVE-2013-5767
in O CVE-2013-5767
Oracle SN CVE-2013-5767
MySQL SN CVE-2013-5767
5.6.12 SV CVE-2013-5767
and SV CVE-2013-5767
earlier SV CVE-2013-5767
allows O CVE-2013-5767
remote AC,AV CVE-2013-5767
authenticated AC CVE-2013-5767
users AC,AV CVE-2013-5767
to O CVE-2013-5767
affect AI CVE-2013-5767
availability AI CVE-2013-5767
via O CVE-2013-5767
unknown O CVE-2013-5767
vectors O CVE-2013-5767
related O CVE-2013-5767
to O CVE-2013-5767
Optimizer AV CVE-2013-5767
. O CVE-2013-5767
  
Microsoft SN CVE-2013-3859
Pinyin SN CVE-2013-3859
IME SN CVE-2013-3859
2010 SV CVE-2013-3859
, O CVE-2013-3859
when O CVE-2013-3859
used O CVE-2013-3859
in O CVE-2013-3859
conjunction O CVE-2013-3859
with O CVE-2013-3859
Microsoft O CVE-2013-3859
Office O CVE-2013-3859
2010 O CVE-2013-3859
SP1 O CVE-2013-3859
, O CVE-2013-3859
does O CVE-2013-3859
not WE CVE-2013-3859
properly WE CVE-2013-3859
restrict WE CVE-2013-3859
configuration WE CVE-2013-3859
options WE CVE-2013-3859
, O CVE-2013-3859
which O CVE-2013-3859
allows O CVE-2013-3859
local AV CVE-2013-3859
users AV CVE-2013-3859
to O CVE-2013-3859
gain AI,CI,II CVE-2013-3859
privileges AI,CI,II CVE-2013-3859
by O CVE-2013-3859
starting AV,AC CVE-2013-3859
Internet AV,AC CVE-2013-3859
Explorer AV,AC CVE-2013-3859
from AV,AC CVE-2013-3859
the AV,AC CVE-2013-3859
IME AV,AC CVE-2013-3859
toolbar AV,AC CVE-2013-3859
, O CVE-2013-3859
aka O CVE-2013-3859
"""" O CVE-2013-3859
Chinese O CVE-2013-3859
IME O CVE-2013-3859
Vulnerability O CVE-2013-3859
. O CVE-2013-3859
"""" O CVE-2013-3859
  
A O CVE-2013-1931
cross-site AC,AV CVE-2013-1931
scripting AC,AV CVE-2013-1931
( AC,AV CVE-2013-1931
XSS AC,AV CVE-2013-1931
) AC,AV CVE-2013-1931
vulnerability O CVE-2013-1931
in O CVE-2013-1931
MantisBT SN CVE-2013-1931
1.2.14 SV CVE-2013-1931
allows O CVE-2013-1931
remote AV CVE-2013-1931
attackers AV CVE-2013-1931
to O CVE-2013-1931
inject II,AI,CI CVE-2013-1931
arbitrary II,AI,CI CVE-2013-1931
web II,AI,CI CVE-2013-1931
script II,AI,CI CVE-2013-1931
or II,AI,CI CVE-2013-1931
HTML II,AI,CI CVE-2013-1931
via O CVE-2013-1931
a O CVE-2013-1931
version O CVE-2013-1931
, O CVE-2013-1931
related O CVE-2013-1931
to O CVE-2013-1931
deleting O CVE-2013-1931
a O CVE-2013-1931
version O CVE-2013-1931
. O CVE-2013-1931
  
Samba SN CVE-2013-4496
3.x SV CVE-2013-4496
before SV CVE-2013-4496
3.6.23 SV CVE-2013-4496
, O CVE-2013-4496
4.0.x SV CVE-2013-4496
before SV CVE-2013-4496
4.0.16 SV CVE-2013-4496
, O CVE-2013-4496
and O CVE-2013-4496
4.1.x SV CVE-2013-4496
before SV CVE-2013-4496
4.1.6 SV CVE-2013-4496
does O CVE-2013-4496
not WE CVE-2013-4496
enforce WE CVE-2013-4496
the WE CVE-2013-4496
password-guessing WE CVE-2013-4496
protection WE CVE-2013-4496
mechanism WE CVE-2013-4496
for O CVE-2013-4496
all O CVE-2013-4496
interfaces O CVE-2013-4496
, O CVE-2013-4496
which O CVE-2013-4496
makes O CVE-2013-4496
it O CVE-2013-4496
easier O CVE-2013-4496
for O CVE-2013-4496
remote AV CVE-2013-4496
attackers AV CVE-2013-4496
to O CVE-2013-4496
obtain AV CVE-2013-4496
access AV CVE-2013-4496
via O CVE-2013-4496
brute-force AV CVE-2013-4496
ChangePasswordUser2 O CVE-2013-4496
( O CVE-2013-4496
1 O CVE-2013-4496
) O CVE-2013-4496
SAMR O CVE-2013-4496
or O CVE-2013-4496
( O CVE-2013-4496
2 O CVE-2013-4496
) O CVE-2013-4496
RAP O CVE-2013-4496
attempts O CVE-2013-4496
. O CVE-2013-4496
  
Unspecified O CVE-2013-5886
vulnerability O CVE-2013-5886
in O CVE-2013-5886
the O CVE-2013-5886
PeopleSoft SN CVE-2013-5886
Enterprise SN CVE-2013-5886
HRMS SN CVE-2013-5886
component SN CVE-2013-5886
in O CVE-2013-5886
Oracle SN CVE-2013-5886
PeopleSoft SN CVE-2013-5886
Products SN CVE-2013-5886
9.1 SV CVE-2013-5886
and SV CVE-2013-5886
9.2 SV CVE-2013-5886
allows O CVE-2013-5886
remote AV CVE-2013-5886
attackers AV CVE-2013-5886
to O CVE-2013-5886
affect II CVE-2013-5886
